run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,0,1.0,1.0,158,133,True,0.5517899990081787,0.0,4,27.358054799959064
1,1,1.0,1.0,144,140,True,0.5423830151557922,0.0,8,27.58833219995722
2,2,1.0,1.0,127,117,True,0.5407180190086365,0.0,7,27.57675730017945
3,3,1.0,1.0,102,98,True,0.5489109754562378,0.0,6,27.46232819976285
4,4,1.0,1.0,122,97,True,0.553056001663208,0.0,5,27.221173000056297
5,5,1.0,1.0,137,130,True,0.5145090222358704,0.0,26,27.35227910010144
6,6,1.0,1.0,148,136,True,0.5492960214614868,0.0,8,27.37144200038165
7,7,1.0,1.0,133,127,True,0.5656639933586121,0.0,6,27.5345864999108
8,8,1.0,1.0,126,119,True,0.5776140093803406,0.0,10,27.778061700053513
9,9,1.0,1.0,122,118,True,0.5520719885826111,0.0,10,27.27200309978798
10,10,1.0,1.0,148,141,True,0.5730779767036438,0.0,7,27.41691829962656
11,11,1.0,1.0,169,163,True,0.5618690252304077,0.0,6,27.364533700048923
12,12,1.0,1.0,155,144,True,0.5674960017204285,0.0,7,27.454134699888527
13,13,1.0,1.0,130,118,True,0.5775420069694519,0.0,8,27.51690400019288
14,14,1.0,1.0,138,125,True,0.5728970170021057,0.0,8,27.436928499955684
15,15,1.0,1.0,173,165,True,0.545678973197937,0.0,13,27.523539799731225
16,16,0.999,1.0,132,116,True,0.588791012763977,0.0,24,27.109322300180793
17,17,0.999,0.99,111,102,True,0.5525779724121094,0.0,27,27.386724600102752
18,18,1.0,1.0,147,133,True,0.5546450018882751,0.0,6,27.474009800236672
19,19,1.0,1.0,111,101,True,0.5093460083007812,0.0,5,27.880124100018293
