run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_epoch,first_high_epoch,stable_high_accuracy,activation_sparsity,structural_sparsity,final_active_subnetwork_size,wall_clock_seconds
0,0,1.0,1.0,16,14,True,0.8686010241508484,0.6500000059604645,8,40.86277909995988
1,1,1.0,1.0,15,14,True,0.8857700228691101,0.6500000059604645,9,40.059764199890196
2,2,1.0,1.0,19,18,True,0.8221200108528137,0.6500000059604645,14,40.211991699878126
3,3,1.0,1.0,15,15,True,0.8575649857521057,0.6500000059604645,9,40.22089900029823
4,4,1.0,1.0,19,16,True,0.8619340062141418,0.6500000059604645,5,40.246631199959666
5,5,1.0,1.0,17,15,True,0.8794699907302856,0.6500000059604645,9,39.72108619986102
6,6,1.0,1.0,18,16,True,0.859495997428894,0.6500000059604645,7,39.9396649999544
7,7,1.0,1.0,18,17,True,0.851980984210968,0.6500000059604645,8,39.64505679998547
8,8,1.0,1.0,31,20,True,0.8772569894790649,0.6500000059604645,9,39.72429870022461
9,9,1.0,1.0,17,16,True,0.876039981842041,0.6500000059604645,8,39.90644480008632
10,10,1.0,1.0,18,15,True,0.8648650050163269,0.6500000059604645,12,40.05008659977466
11,11,1.0,1.0,20,16,True,0.8381609916687012,0.6499750018119812,16,39.93067009979859
12,12,1.0,1.0,17,16,True,0.8396040201187134,0.6500000059604645,11,40.03579819994047
13,13,1.0,1.0,18,16,True,0.8298079967498779,0.6500000059604645,11,40.204729499761015
14,14,1.0,1.0,20,18,True,0.8554840087890625,0.6500000059604645,11,39.900008199736476
15,15,1.0,1.0,18,17,True,0.8383150100708008,0.6500000059604645,15,40.08785720029846
16,16,1.0,1.0,20,14,True,0.8808580040931702,0.6500000059604645,9,40.20529380021617
17,17,1.0,1.0,16,14,True,0.86524897813797,0.6500000059604645,7,40.31489369971678
18,18,1.0,1.0,22,19,True,0.856410026550293,0.6500000059604645,8,40.26805609976873
19,19,1.0,1.0,15,14,True,0.8433809876441956,0.6500000059604645,13,39.939053300302476
