run_index,seed,final_train_accuracy,final_test_accuracy,first_perfect_step,first_high_step,stable_high_accuracy,activation_sparsity,structural_sparsity,wall_clock_seconds
0,1926359045,1.0,1.0,2160,1790,True,0.8124299645423889,0.0,203.04637219989672
1,201323333,1.0,1.0,2920,2510,True,0.8060599565505981,0.0,178.15748010016978
2,1377352415,1.0,1.0,2250,1680,True,0.8151549696922302,0.0,178.95209360029548
3,951763557,1.0,1.0,2720,2470,True,0.819694995880127,0.0,179.34173149988055
4,150521844,1.0,1.0,2490,2050,True,0.8124899864196777,0.0,179.56249660020694
5,1602275767,1.0,1.0,2740,2270,True,0.8126049637794495,0.0,179.77239170018584
6,1332738052,1.0,1.0,2060,1760,True,0.8238499760627747,0.0,179.8638441003859
7,1574067317,1.0,1.0,2730,2070,True,0.8099899888038635,0.0,179.934365299996
8,472781290,1.0,1.0,2680,1930,True,0.8232649564743042,0.0,180.02816449990496
9,2133691443,1.0,1.0,2200,1790,True,0.8210799694061279,0.0,180.07675069989637
10,713223379,1.0,1.0,2040,1680,True,0.8176599740982056,0.0,180.13605610001832
11,1752170038,1.0,1.0,2540,2140,True,0.8263349533081055,0.0,180.0896884999238
12,1347451963,1.0,1.0,2170,1810,True,0.818399965763092,0.0,180.02773089986295
13,1026779926,1.0,1.0,1960,1610,True,0.8185549974441528,0.0,180.10790820000693
14,1922639814,1.0,1.0,2020,1770,True,0.8284949660301208,0.0,180.10364630026743
15,1159847000,1.0,1.0,2140,1710,True,0.8162449598312378,0.0,180.1546781999059
16,1471765397,1.0,1.0,1990,1630,True,0.8169049620628357,0.0,180.15739519987255
17,1870058660,1.0,1.0,1960,1440,True,0.8269099593162537,0.0,180.14737959997728
18,627616742,1.0,1.0,2370,2080,True,0.825094997882843,0.0,180.1718929996714
19,1795156433,1.0,1.0,2060,1730,True,0.8137199878692627,0.0,180.13369139982387
